Price, Bedrooms,Bathrooms,Size_sqft,Location,Floors,Age
2500000,2,1,850,Noida,1,10
3200000,3,2,1200,Noida,2,8
4500000,4,3,1800,Ghaziabad,2,5
2800000,2,2,950,Greater Noida,1,12
5500000,5,4,2400,Delhi,3,3
3800000,3,2,1400,Ghaziabad,2,7
6000000,4,3,2600,Delhi,3,2
2700000,2,1,,Greater Noida,1,15
4800000,4,,2000,Noida,2,4
3500000,3,2,1300,Delhi,2,6
4200000,3,3,1700,Noida,2,5
2900000,2,2,1000,Ghaziabad,1,9
6500000,5,4,2800,Delhi,3,1
3100000,3,2,1150,Greater Noida,2,8
5200000,4,3,2200,,3,3
2500000,2,1,850,Noida,1,10
,3,2,1200,Noida,2,8
4500000,4,3,1800,Ghaziabad,2,5
2800000,2,2,950,Greater Noida,,12
5500000,5,4,2400,Delhi,3,3
